城市,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
 北 京 ,830.8,38103630,30671.14,127.4,5925388,64413910,434.15,10989365,15,17.3,8.56,44.94
 天  津 ,549.74,40496103,34679,15.38,2045295,18253200,174.5,3254148,18,7.99,7.23,17.45
 石 家庄 ,331.33,11981505,10008.48,8.07,493429,10444919,86.74,1067432,18,7.23,8.28,21.56
 太  原 ,222.63,5183200,15248.11,2.43,333473,6601300,74.55,945212,16,5.06,7.88,20.58
 呼和浩特 ,97.81,2407794,4155.1,2,205779,2554496,28.9,407963,18,3.81,8.92,26.58
 沈  阳 ,440.6,10643612,14635.74,7.3,810889,14229575,101.7,1521548,15,9.32,6.7,28.36
 长  春 ,313.05,15115270,10891.98,6.94,459709,8313564,89.7,1244167,15,11.87,7.03,18.75
 哈 尔 滨 ,454.52,7215089,9517.8,24.99,763600,11536951,168.83,2102165,14,12.75,6.34,18.51
 上  海 ,1041.39,1.03E+08,63861,35.22,8992850,60546000,281.51,7686511,19,14.57,12.92,19.11
 南  京 ,391.67,25093816,14804.68,7.62,1364788,11336202,87.91,1950742,16,9.06,12.13,136.72
 杭  州 ,263.67,32025226,16815.2,8.36,1503888,14664200,75.72,1867776,17,8.93,6.5,23.19
 合  肥 ,160.18,5348605,4640.84,3.39,358694,3592488,37.88,526577,17,14.11,15.72,28.74
 福  州 ,205.43,12889573,8250.39,4.69,674522,8762245,71.3,1073262,18,9.65,7.9,31.6
 南  昌 ,195.46,4149169,4454.45,3.62,314094,4828029,49.79,692717,17,7.37,7.67,23.98
 济  南 ,297.21,13185425,14354.4,6.6,761054,7583525,78.38,1256160,19,7.77,10.62,19.54
 郑  州 ,249.72,9270494,7846.91,8.77,658737,10484859,83.99,1137056,19,10.11,7.63,17.77
 武  汉 ,474.98,13344938,16610.34,13.58,804368,12855341,136.08,1868350,17,6.87,4.16,8.34
 长  沙 ,205.83,5339304,10630.5,6.31,598930,7048500,60.04,1019924,18,10.09,9.1,29.1
 广  州 ,493.32,40178324,28859.45,21.47,2747707,37273276,182.16,5247087,17,11.16,12.76,178.76
 南  宁 ,167.99,2083763,5893.09,4.95,362435,4514961,50.79,668976,18,9.91,9.32,35.12
 海  口 ,76.05,2025643,3304.4,2.72,122541,2843664,22.97,340392,20,5.09,7.07,15.79
 成  都 ,386.23,9700976,28798.2,8.06,895752,14944197,124.03,1894496,17,8.95,10.17,25.59
 贵  阳 ,165.27,3569419,5317.55,5.75,403855,3449487,54.53,664234,16,9.37,3.11,105.35
 昆  明 ,205.34,5809573,12337.86,7.07,601101,7085278,73.34,1045469,15,15.33,4.49,23.33
 西  安 ,312.88,6386627,9392,12.21,648037,12105607,113.73,1535896,15,7.32,4.48,8.82
 兰  州 ,175.54,5215490,5580.8,3.7,205660,4683830,54.91,740661,15,10.33,6.3,11.22
 西  宁 ,105.13,1148959,2037.15,1.24,84397,1749293,20.6,301364,17,11.47,4.92,14.2
 银  川 ,79.2,1464867,2127.17,1.65,122605,1930771,29.12,393035,15,9.26,10.43,40.21
 乌鲁木齐 ,142.94,3110943,12754.02,3.94,409119,4203000,47.42,782873,19,22.89,6.49,20.53
 大  连 ,297.48,15468641,21081.47,6.6,1105405,13101986,82.13,1442215,14,13.79,6.24,40.21
 宁  波 ,168.81,26302862,13797.38,4.8,1394162,10596339,59.88,1418635,17,9.88,6.81,17.65
 厦  门 ,83.74,13201500,3054.82,2.83,701456,3971559,54.78,1042111,20,15.5,8.15,26.44
 青  岛 ,329.96,25588695,30552.6,6.72,1201398,9084693,104.55,1603305,15,14.78,11.41,35.78
 深  圳 ,122.39,52451037,6792.66,10.84,2908370,21994500,104.98,3259900,21,114.91,47.29,177.62
 重  庆 ,753.92,15889928,32450.2,12.83,1615618,18965569,203.79,2535070,21,4.94,4.24,10.8
